image_path,label
/Users/carolinejohnson/Desktop/finalProject/data/indonesia/Image06.jpg,beach
/Users/carolinejohnson/Desktop/finalProject/data/cannonbeach/Image20.jpg,struct
/Users/carolinejohnson/Desktop/finalProject/data/yellowstone/Image28.jpg,
/Users/carolinejohnson/Desktop/finalProject/data/campusinfall/Image38.jpg,people
/Users/carolinejohnson/Desktop/finalProject/data/football/Image09.jpg,
/Users/carolinejohnson/Desktop/finalProject/data/iran/Image32.jpg,sky
/Users/carolinejohnson/Desktop/finalProject/data/geneva/Image01.jpg,Sailboats
/Users/carolinejohnson/Desktop/finalProject/data/campusinfall/Image43.jpg,street
/Users/carolinejohnson/Desktop/finalProject/data/sanjuans/Image24.jpg,partly cloudy sky
/Users/carolinejohnson/Desktop/finalProject/data/geneva/Image22.jpg,Ice
/Users/carolinejohnson/Desktop/finalProject/data/australia/Image14.jpg,sky
/Users/carolinejohnson/Desktop/finalProject/data/football/Image37.jpg,
/Users/carolinejohnson/Desktop/finalProject/data/football/Image07.jpg,track
/Users/carolinejohnson/Desktop/finalProject/data/campusinfall/Image46.jpg,tree
/Users/carolinejohnson/Desktop/finalProject/data/sanjuans/Image29.jpg,trees
/Users/carolinejohnson/Desktop/finalProject/data/cherries/Image31.jpg,cherry trees
/Users/carolinejohnson/Desktop/finalProject/data/indonesia/Image16.jpg,temple
/Users/carolinejohnson/Desktop/finalProject/data/cannonbeach/Image22.jpg,flowers
/Users/carolinejohnson/Desktop/finalProject/data/iran/Image02.jpg,people
/Users/carolinejohnson/Desktop/finalProject/data/geneva/Image03.jpg,Sky
/Users/carolinejohnson/Desktop/finalProject/data/australia/Image08.jpg,tree
/Users/carolinejohnson/Desktop/finalProject/data/japan/Image31.jpg,trees
/Users/carolinejohnson/Desktop/finalProject/data/geneva/Image06.jpg,Streets
/Users/carolinejohnson/Desktop/finalProject/data/sanjuans/Image19.jpg,partially cloudy sky
/Users/carolinejohnson/Desktop/finalProject/data/sanjuans/Image38.jpg,partially cloudy sky
/Users/carolinejohnson/Desktop/finalProject/data/springflowers/Image11.jpg,sidewalk
/Users/carolinejohnson/Desktop/finalProject/data/japan/Image27.jpg,sunset
/Users/carolinejohnson/Desktop/finalProject/data/arborgreens/Image47.jpg,greens
/Users/carolinejohnson/Desktop/finalProject/data/greenlake/Image32.jpg,car
/Users/carolinejohnson/Desktop/finalProject/data/football/Image09.jpg,
/Users/carolinejohnson/Desktop/finalProject/data/cannonbeach/Image10.jpg,trees
/Users/carolinejohnson/Desktop/finalProject/data/greenlake/Image11.jpg,trees
/Users/carolinejohnson/Desktop/finalProject/data/football/Image22.jpg,track
/Users/carolinejohnson/Desktop/finalProject/data/cannonbeach/Image03.jpg,struct
/Users/carolinejohnson/Desktop/finalProject/data/iran/Image06.jpg,tiles
/Users/carolinejohnson/Desktop/finalProject/data/football/Image26.jpg,partially cloudy sky
